mass_A
t,x,y
1.297812500E2,2.022803815E-1,4.234488130E-1
1.297854167E2,2.019272465E-1,4.234439660E-1
1.297895833E2,2.018615305E-1,4.229174343E-1
1.297937500E2,2.022360652E-1,4.229225750E-1
1.297979167E2,2.022360652E-1,4.229225750E-1
1.298020833E2,2.021095068E-1,4.230457064E-1
1.298062500E2,2.021095068E-1,4.230457064E-1
1.298104167E2,2.021095068E-1,4.230457064E-1
1.298145833E2,2.021095068E-1,4.230457064E-1
1.298187500E2,2.021095068E-1,4.230457064E-1
1.298229167E2,2.021095068E-1,4.230457064E-1
1.298270833E2,2.021095068E-1,4.230457064E-1
1.298312500E2,2.018598169E-1,4.230422793E-1
1.298354167E2,2.018598169E-1,4.230422793E-1
1.298395833E2,2.018598169E-1,4.230422793E-1
1.298437500E2,2.022343517E-1,4.230474199E-1
1.298479167E2,2.022343517E-1,4.230474199E-1
1.298520833E2,2.022343517E-1,4.230474199E-1
1.298562500E2,2.022343517E-1,4.230474199E-1
1.298604167E2,2.022343517E-1,4.230474199E-1
1.298645833E2,2.022343517E-1,4.230474199E-1
1.298687500E2,2.022343517E-1,4.230474199E-1
1.298729167E2,2.022343517E-1,4.230474199E-1
1.298770833E2,2.022343517E-1,4.230474199E-1
1.298812500E2,2.022343517E-1,4.230474199E-1
1.298854167E2,2.022343517E-1,4.230474199E-1
1.298895833E2,2.022343517E-1,4.230474199E-1
1.298937500E2,2.022343517E-1,4.230474199E-1
1.298979167E2,2.022343517E-1,4.230474199E-1
1.299020833E2,2.022343517E-1,4.230474199E-1
1.299062500E2,2.021095068E-1,4.230457064E-1
1.299104167E2,2.021095068E-1,4.230457064E-1
1.299145833E2,2.021095068E-1,4.230457064E-1
1.299187500E2,2.021095068E-1,4.230457064E-1
1.299229167E2,2.021095068E-1,4.230457064E-1
1.299270833E2,2.021095068E-1,4.230457064E-1
1.299312500E2,2.021095068E-1,4.230457064E-1
1.299354167E2,2.021095068E-1,4.230457064E-1
1.299395833E2,2.021095068E-1,4.230457064E-1
