mass_A
t,x,y
1.307979167E2,9.458857592E-2,1.610170902E-1
1.308020833E2,9.573606054E-2,1.603526902E-1
1.308062500E2,9.538968950E-2,1.606884330E-1
1.308104167E2,9.538968950E-2,1.606884330E-1
1.308145833E2,9.572897501E-2,1.608074327E-1
1.308187500E2,9.572897501E-2,1.608074327E-1
1.308229167E2,9.572897501E-2,1.608074327E-1
1.308270833E2,9.572897501E-2,1.608074327E-1
1.308312500E2,9.572897501E-2,1.608074327E-1
1.308354167E2,9.572897501E-2,1.608074327E-1
1.308395833E2,9.584266064E-2,1.608092041E-1
1.308437500E2,9.607003191E-2,1.608127469E-1
1.308479167E2,9.607003191E-2,1.608127469E-1
1.308520833E2,9.607003191E-2,1.608127469E-1
1.308562500E2,9.607003191E-2,1.608127469E-1
1.308604167E2,9.709320260E-2,1.608286893E-1
1.308645833E2,9.709320260E-2,1.608286893E-1
1.308687500E2,9.709320260E-2,1.608286893E-1
1.308729167E2,9.709320260E-2,1.608286893E-1
1.308770833E2,9.709320260E-2,1.608286893E-1
1.308812500E2,9.743425950E-2,1.608340035E-1
1.308854167E2,9.743425950E-2,1.608340035E-1
1.308895833E2,9.743425950E-2,1.608340035E-1
1.308937500E2,9.777531640E-2,1.608393176E-1
1.308979167E2,9.777531640E-2,1.608393176E-1
1.309020833E2,9.777531640E-2,1.608393176E-1
1.309062500E2,9.788900203E-2,1.608410890E-1
1.309104167E2,9.856757306E-2,1.610790886E-1
1.309145833E2,9.856757306E-2,1.610790886E-1
1.309187500E2,9.879494432E-2,1.610826313E-1
1.309229167E2,9.925145824E-2,1.609760312E-1
1.309270833E2,1.002834858E-1,1.604235455E-1
1.309312500E2,1.002817145E-1,1.605372311E-1
1.309354167E2,1.005055430E-1,1.607681452E-1
1.309395833E2,1.011858854E-1,1.608924591E-1
1.309437500E2,1.016406279E-1,1.608995446E-1
1.309479167E2,1.016406279E-1,1.608995446E-1
1.309520833E2,1.016406279E-1,1.608995446E-1
1.309562500E2,1.016317710E-1,1.614679728E-1
1.309604167E2,1.025465702E-1,1.611410870E-1
1.309645833E2,1.025483416E-1,1.610274013E-1
1.309687500E2,1.025483416E-1,1.610274013E-1
1.309729167E2,1.026620272E-1,1.610291727E-1
1.309770833E2,1.026620272E-1,1.610291727E-1
1.309812500E2,1.026620272E-1,1.610291727E-1
1.309854167E2,1.035750550E-1,1.608159725E-1
1.309895833E2,1.040315690E-1,1.607093724E-1
1.309937500E2,1.046035399E-1,1.604908580E-1
1.309979167E2,1.047172255E-1,1.604926294E-1
1.310020833E2,1.049445968E-1,1.604961722E-1
1.310062500E2,1.049445968E-1,1.604961722E-1
1.310104167E2,1.056267106E-1,1.605068005E-1
1.310145833E2,1.064242814E-1,1.604055145E-1
1.310187500E2,1.069927095E-1,1.604143714E-1
1.310229167E2,1.071099379E-1,1.601887716E-1
1.310270833E2,1.083622513E-1,1.600945711E-1
